YEAR,LATITUDE,LONGITUDE,COUNTRY
2018,-33.2114,-65.089,Argentina
2021,-33.2406,-65.026,Argentina
2023,-38.0315,-60.0993,Argentina
2019,-42.6246,-65.2781,Argentina
2019,-42.6246,-65.2781,Argentina
2020,-42.6246,-65.2781,Argentina
2023,-42.6246,-65.2781,Argentina
2000,-45.8502,-67.5976,Argentina
2011,-28.6977,-66.7579,Argentina
2014,-28.6977,-66.7579,Argentina
2019,-28.7333,-66.7427,Argentina
-1,-28.7333,-66.7427,Argentina
2019,-47.2995,-66.9931,Argentina
2019,-47.2995,-66.9931,Argentina
2023,-34.6627,-58.4101,Argentina
2021,-46.5925,-67.6486,Argentina
2019,-42.5858,-65.1584,Argentina
2021,-42.5858,-65.1584,Argentina
2021,-42.5858,-65.1584,Argentina
2021,-42.5858,-65.1584,Argentina
2018,-38.6697,-62.0382,Argentina
2019,-38.758,-61.7815,Argentina
2019,-45.7506,-67.6634,Argentina
2023,-42.6832,-65.2064,Argentina
-1,-38.3608,-62.2228,Argentina
-1,-38.3188,-62.2811,Argentina
2018,-44.5554,-66.4812,Argentina
2019,-38.4061,-62.259,Argentina
2021,-45.8092,-68.0574,Argentina
2019,-37.4901,-64.745,Argentina
2018,-38.617,-62.7604,Argentina
-1,-38.6231,-62.7638,Argentina
2024,-34.7867,-58.6339,Argentina
2020,-38.5759,-61.9221,Argentina
2019,-38.5759,-61.9221,Argentina
-1,-43.0136,-65.1299,Argentina
2020,-43.0212,-65.2102,Argentina
-1,-43.0494,-65.164,Argentina
-1,-43.1292,-65.2576,Argentina
2021,-42.9167,-65.3333,Argentina
2021,-46.6343,-68.3925,Argentina
-1,-38.8577,-68.8863,Argentina
2020,-33.2106,-65.089,Argentina
2020,-37.143,-59.7715,Argentina
2021,-37.0998,-59.8368,Argentina
2020,-44.9804,-67.056,Argentina
2018,-45.6749,-67.7891,Argentina
2018,-45.6749,-67.7891,Argentina
2019,-33.2364,-65.0546,Argentina
2023,-38.3048,-62.2432,Argentina
2020,-38.2099,-58.029,Argentina
2019,-38.6943,-62.0037,Argentina
2019,-38.7526,-61.7855,Argentina
2023,-38.7526,-61.7855,Argentina
2023,-38.8018,-62.0833,Argentina
2024,-38.6943,-62.0037,Argentina
2019,-39.5611,-65.715,Argentina
2019,-39.5611,-65.715,Argentina
2018,-42.7683,-65.0959,Argentina
2019,-42.7081,-65.2575,Argentina
2012,-43.3514,-65.188,Argentina
2012,-43.3514,-65.188,Argentina
2017,-43.3514,-65.188,Argentina
2020,-38.3466,-62.3099,Argentina
2020,-38.3048,-62.2432,Argentina
-1,-33.6968,-65.487,Argentina
2013,-43.1095,-65.2471,Argentina
2020,-38.3601,-62.2257,Argentina
2020,-38.3598,-62.2257,Argentina
-1,-38.3598,-62.2257,Argentina
2020,-38.6129,-58.8242,Argentina
2020,-39.2145,-62.5679,Argentina
2023,-38.2225,-58.1388,Argentina
2020,-39.7557,-69.7624,Argentina
2018,-40.0394,-62.6593,Argentina
2009,12.4743,-69.8915,Aruba
-1,13.2962,-59.5972,Barbados
2021,-18.369,-63.1006,Bolivia
2016,-17.6501,-65.3659,Bolivia
2021,-17.8124,-62.832,Bolivia
2021,-17.5256,-63.1289,Bolivia
2013,12.2233,-68.3653,Netherlands
-1,-2.887,-40.1195,Brazil
-1,-2.887,-40.1195,Brazil
-1,-2.887,-40.1195,Brazil
-1,-6.0853,-36.6673,Brazil
-1,-6.079,-36.674,Brazil
-1,-6.0976,-36.6294,Brazil
-1,-6.0916,-36.648,Brazil
2022,-5.3246,-36.5062,Brazil
2022,-5.3612,-36.4723,Brazil
2022,-5.4091,-36.4925,Brazil
2022,-5.3504,-36.4693,Brazil
2022,-5.3151,-36.4892,Brazil
2022,-5.3562,-36.4974,Brazil
2024,-5.3842,-36.1097,Brazil
2024,-5.3677,-36.1072,Brazil
2012,-26.6183,-51.5645,Brazil
2012,-26.5849,-51.7534,Brazil
2012,-26.6124,-51.7402,Brazil
2012,-26.5996,-51.7255,Brazil
2012,-26.5885,-51.8138,Brazil
2010,-5.0942,-36.3631,Brazil
2012,-5.1243,-36.3833,Brazil
2014,-14.1857,-42.6466,Brazil
2014,-14.2017,-42.6183,Brazil
2014,-14.2189,-42.6414,Brazil
2014,-13.8606,-42.6574,Brazil
2014,-13.8823,-42.6631,Brazil
2014,-14.1769,-42.6541,Brazil
2014,-13.8957,-42.6769,Brazil
2014,-14.0148,-42.6339,Brazil
2014,-14.2021,-42.6589,Brazil
2014,-13.9879,-42.6389,Brazil
2014,-14.164,-42.6006,Brazil
2014,-14.1555,-42.6382,Brazil
2015,-14.1324,-42.5924,Brazil
2016,-14.5084,-42.5867,Brazil
2016,-14.4689,-42.5836,Brazil
2015,-13.8633,-42.7281,Brazil
2016,-14.477,-42.5853,Brazil
2015,-14.0857,-42.6203,Brazil
2014,-14.0885,-42.6827,Brazil
2016,-14.5292,-42.5867,Brazil
2015,-14.0292,-42.6161,Brazil
2014,-14.1473,-42.7119,Brazil
2016,-14.4957,-42.5829,Brazil
2014,-14.0305,-42.6245,Brazil
2014,-14.1197,-42.6142,Brazil
2014,-13.9499,-42.6382,Brazil
2014,-14.1296,-42.5597,Brazil
2022,-14.2778,-42.5435,Brazil
2022,-13.9156,-42.6978,Brazil
2022,-13.8351,-42.7038,Brazil
2022,-14.0441,-42.6543,Brazil
2022,-13.8266,-42.7043,Brazil
2022,-14.329,-42.5723,Brazil
2022,-13.9946,-42.6908,Brazil
2022,-14.5569,-42.5825,Brazil
