Capacity (MW),Status,Start Year,Latitude,Longitude
80.0,Operating,2015.0,-34.144,24.7004
140.0,Operating,2017.0,-30.4033,19.5888
138.0,Operating,2017.0,-30.3804,19.5893
96.0,Operating,2017.0,-30.7349,23.8665
139.0,Operating,2017.0,-30.7349,23.8665
27.0,Operating,2014.0,-33.9606,25.2458
155.0,Accounced,2025.0,-25.8828,30.2094
74.0,Operating,2014.0,-31.7287,23.1841
88.0,Operating,2016.0,-32.7789,25.9324
80.0,Operating,2016.0,-31.1736,25.0165
139.0,Operating,2020.0,-32.7407,25.9459
148.0,Operating,2021.0,-34.1115,24.6347
110.0,Operating,2021.0,-33.0561,20.1094
140.0,Construction,2024.0,-31.2525,24.9523
147.0,Operating,2022.0,-32.6426,20.9174
140.0,Construction,2024.0,-29.7853,18.4065
20.0,Accounced,2024.0,-33.1294,21.5321
100.0,Operating,2015.0,-31.5296,18.0943
139.0,Operating,2021.0,-32.754,20.6396
40.0,Accounced,2035.0,-26.4164,27.6623
95.0,Operating,2016.0,-34.0735,24.5067
67.0,Operating,2014.0,-33.0928,18.3989
27.0,Operating,2014.0,-33.9615,25.2465
140.0,Construction,2024.0,-28.5724,30.1447
25.0,Operating,2016.0,-32.5901,26.4569
34.0,Operating,2021.0,-28.8166,24.9916
94.0,Operating,2015.0,-32.8343,17.9956
84.0,Construction,2024.0,-33.1538,25.5536
120.0,Accounced,-1.0,2.6606,34.5689
20.0,Construction,2023.0,2.5835,34.667
100.0,Accounced,-1.0,-14.2662,27.1576
200.0,Accounced,-1.0,-14.4108,31.048
150.0,Accounced,-1.0,-14.4108,31.048
150.0,Accounced,-1.0,-14.4108,31.048
100.0,Accounced,-1.0,-18.6758,30.6417
48.0,Operating,2018.0,-33.2114,-65.089
80.0,Operating,2021.0,-33.2406,-65.026
100.0,Construction,2023.0,-38.0315,-60.0993
50.0,Operating,2019.0,-42.6246,-65.2781
61.0,Operating,2019.0,-42.6246,-65.2781
53.0,Operating,2020.0,-42.6246,-65.2781
81.0,Construction,2023.0,-42.6246,-65.2781
18.0,Operating,2000.0,-45.8502,-67.5976
25.0,Operating,2011.0,-28.6977,-66.7579
25.0,Operating,2014.0,-28.6977,-66.7579
99.8,Operating,2019.0,-28.7333,-66.7427
100.0,Accounced,-1.0,-28.7333,-66.7427
101.0,Operating,2019.0,-47.2995,-66.9931
25.0,Operating,2019.0,-47.2995,-66.9931
103.0,Construction,2023.0,-34.6627,-58.4101
122.0,Operating,2021.0,-46.5925,-67.6486
29.0,Operating,2019.0,-42.5858,-65.1584
26.0,Operating,2021.0,-42.5858,-65.1584
58.0,Operating,2021.0,-42.5858,-65.1584
83.0,Operating,2021.0,-42.5858,-65.1584
100.0,Operating,2018.0,-38.6697,-62.0382
50.0,Operating,2019.0,-38.758,-61.7815
28.0,Operating,2019.0,-45.7506,-67.6634
81.0,Construction,2023.0,-42.6832,-65.2064
80.0,Operating,-1.0,-38.3608,-62.2228
20.0,Operating,-1.0,-38.3188,-62.2811
24.0,Operating,2018.0,-44.5554,-66.4812
10.0,Operating,2019.0,-38.4061,-62.259
24.0,Operating,2021.0,-45.8092,-68.0574
40.0,Operating,2019.0,-37.4901,-64.745
99.0,Operating,2018.0,-38.617,-62.7604
15.0,Construction,-1.0,-38.6231,-62.7638
103.5,Construction,2024.0,-34.7867,-58.6339
87.0,Operating,2020.0,-38.5759,-61.9221
42.0,Operating,2019.0,-38.5759,-61.9221
51.0,Operating,-1.0,-43.0136,-65.1299
51.0,Operating,2020.0,-43.0212,-65.2102
51.0,Operating,-1.0,-43.0494,-65.164
51.0,Operating,-1.0,-43.1292,-65.2576
100.0,Operating,2021.0,-42.9167,-65.3333
97.0,Operating,2021.0,-46.6343,-68.3925
125.0,Construction,-1.0,-38.8577,-68.8863
23.0,Operating,2020.0,-33.2106,-65.089
123.0,Operating,2020.0,-37.143,-59.7715
52.0,Operating,2021.0,-37.0998,-59.8368
50.0,Operating,2020.0,-44.9804,-67.056
50.0,Operating,2018.0,-45.6749,-67.7891
50.0,Operating,2018.0,-45.6749,-67.7891
